:START_ID,predicate,:END_ID,:TYPE,evidence_sentence,source_chunk_id,description
chunk:9ff49c37033a7a679725,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:9ff49c37033a7a679725,
chunk:0ab24c69d5800265db56,NEXT,chunk:250c550b577648e1946d,NEXT,,chunk:0ab24c69d5800265db56,
chunk:0ab24c69d5800265db56,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:0ab24c69d5800265db56,
chunk:250c550b577648e1946d,NEXT,chunk:61912058a730a176f498,NEXT,,chunk:250c550b577648e1946d,
chunk:250c550b577648e1946d,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:250c550b577648e1946d,
chunk:61912058a730a176f498,NEXT,chunk:707e24edeeeba14863af,NEXT,,chunk:61912058a730a176f498,
chunk:61912058a730a176f498,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:61912058a730a176f498,
chunk:707e24edeeeba14863af,NEXT,chunk:8543dcec9a1257987e1c,NEXT,,chunk:707e24edeeeba14863af,
chunk:707e24edeeeba14863af,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:707e24edeeeba14863af,
chunk:8543dcec9a1257987e1c,NEXT,chunk:870439af9c93005465c7,NEXT,,chunk:8543dcec9a1257987e1c,
chunk:8543dcec9a1257987e1c,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:8543dcec9a1257987e1c,
chunk:870439af9c93005465c7,NEXT,chunk:c65279da14251806a178,NEXT,,chunk:870439af9c93005465c7,
chunk:870439af9c93005465c7,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:870439af9c93005465c7,
chunk:c65279da14251806a178,NEXT,chunk:d534aa932777b940e264,NEXT,,chunk:c65279da14251806a178,
chunk:c65279da14251806a178,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:c65279da14251806a178,
chunk:d534aa932777b940e264,NEXT,chunk:af13f054ab44c13047fb,NEXT,,chunk:d534aa932777b940e264,
chunk:d534aa932777b940e264,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:d534aa932777b940e264,
chunk:af13f054ab44c13047fb,NEXT,chunk:6ab965e98548e701072a,NEXT,,chunk:af13f054ab44c13047fb,
chunk:af13f054ab44c13047fb,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:af13f054ab44c13047fb,
chunk:6ab965e98548e701072a,NEXT,chunk:4431c252ecc4f08cca4c,NEXT,,chunk:6ab965e98548e701072a,
chunk:6ab965e98548e701072a,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:6ab965e98548e701072a,
chunk:4431c252ecc4f08cca4c,NEXT,chunk:85d46b6622a3d740f0e5,NEXT,,chunk:4431c252ecc4f08cca4c,
chunk:4431c252ecc4f08cca4c,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:4431c252ecc4f08cca4c,
chunk:85d46b6622a3d740f0e5,NEXT,chunk:27e2abdcfaa4bf2cd193,NEXT,,chunk:85d46b6622a3d740f0e5,
chunk:85d46b6622a3d740f0e5,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:85d46b6622a3d740f0e5,
chunk:27e2abdcfaa4bf2cd193,NEXT,chunk:ac0964272fe689aeecf2,NEXT,,chunk:27e2abdcfaa4bf2cd193,
chunk:27e2abdcfaa4bf2cd193,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:27e2abdcfaa4bf2cd193,
chunk:ac0964272fe689aeecf2,NEXT,chunk:6b14b68eacbc8a7172e4,NEXT,,chunk:ac0964272fe689aeecf2,
chunk:ac0964272fe689aeecf2,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:ac0964272fe689aeecf2,
chunk:6b14b68eacbc8a7172e4,NEXT,chunk:02ac276d0e0d5b5d6c54,NEXT,,chunk:6b14b68eacbc8a7172e4,
chunk:6b14b68eacbc8a7172e4,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:6b14b68eacbc8a7172e4,
chunk:02ac276d0e0d5b5d6c54,NEXT,chunk:18a34147721d76b719e3,NEXT,,chunk:02ac276d0e0d5b5d6c54,
chunk:02ac276d0e0d5b5d6c54,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:02ac276d0e0d5b5d6c54,
chunk:18a34147721d76b719e3,NEXT,chunk:ba37cc5f72e6f2847674,NEXT,,chunk:18a34147721d76b719e3,
chunk:18a34147721d76b719e3,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:18a34147721d76b719e3,
chunk:ba37cc5f72e6f2847674,NEXT,chunk:32ebc43ee761ff95f1f2,NEXT,,chunk:ba37cc5f72e6f2847674,
chunk:ba37cc5f72e6f2847674,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:ba37cc5f72e6f2847674,
chunk:32ebc43ee761ff95f1f2,NEXT,chunk:cc5e916b5cdd98802629,NEXT,,chunk:32ebc43ee761ff95f1f2,
chunk:32ebc43ee761ff95f1f2,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:32ebc43ee761ff95f1f2,
chunk:cc5e916b5cdd98802629,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:cc5e916b5cdd98802629,
chunk:66976d8ac543c59d12c3,NEXT,chunk:af1a725b2c934377c20e,NEXT,,chunk:66976d8ac543c59d12c3,
chunk:66976d8ac543c59d12c3,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:66976d8ac543c59d12c3,
chunk:af1a725b2c934377c20e,NEXT,chunk:b4074161afe522b7409a,NEXT,,chunk:af1a725b2c934377c20e,
chunk:af1a725b2c934377c20e,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:af1a725b2c934377c20e,
chunk:b4074161afe522b7409a,NEXT,chunk:8764a54796f17becb856,NEXT,,chunk:b4074161afe522b7409a,
chunk:b4074161afe522b7409a,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:b4074161afe522b7409a,
chunk:8764a54796f17becb856,NEXT,chunk:cb257e10163b05c0b102,NEXT,,chunk:8764a54796f17becb856,
chunk:8764a54796f17becb856,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:8764a54796f17becb856,
chunk:cb257e10163b05c0b102,NEXT,chunk:e999c215f0645f94f616,NEXT,,chunk:cb257e10163b05c0b102,
chunk:cb257e10163b05c0b102,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:cb257e10163b05c0b102,
chunk:e999c215f0645f94f616,NEXT,chunk:f37337fd3a562a576ad4,NEXT,,chunk:e999c215f0645f94f616,
chunk:e999c215f0645f94f616,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:e999c215f0645f94f616,
chunk:f37337fd3a562a576ad4,NEXT,chunk:509a1635332d84368285,NEXT,,chunk:f37337fd3a562a576ad4,
chunk:f37337fd3a562a576ad4,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:f37337fd3a562a576ad4,
chunk:509a1635332d84368285,NEXT,chunk:e8d5ad6f89d82fea0f07,NEXT,,chunk:509a1635332d84368285,
chunk:509a1635332d84368285,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:509a1635332d84368285,
chunk:e8d5ad6f89d82fea0f07,NEXT,chunk:52fcddea71fb1f18d963,NEXT,,chunk:e8d5ad6f89d82fea0f07,
chunk:e8d5ad6f89d82fea0f07,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:e8d5ad6f89d82fea0f07,
chunk:52fcddea71fb1f18d963,NEXT,chunk:1baa264ce437c54e7722,NEXT,,chunk:52fcddea71fb1f18d963,
chunk:52fcddea71fb1f18d963,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:52fcddea71fb1f18d963,
chunk:1baa264ce437c54e7722,NEXT,chunk:e8f70d6655c1f84c0902,NEXT,,chunk:1baa264ce437c54e7722,
chunk:1baa264ce437c54e7722,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:1baa264ce437c54e7722,
chunk:e8f70d6655c1f84c0902,NEXT,chunk:29951a1e0b242033eb38,NEXT,,chunk:e8f70d6655c1f84c0902,
chunk:e8f70d6655c1f84c0902,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:e8f70d6655c1f84c0902,
